product_name,category,price,rating,url
Gorgeous Plastic Soap,Kids,787,2,https://www.oracle.com/webfolder/technetwork/jet/content/images/listView/book2.jpg
Generic Frozen Sausages,Industrial,984,5,https://www.oracle.com/webfolder/technetwork/jet/content/images/listView/book2.jpg
Handmade Wooden Towels,Toys,246,3,https://www.oracle.com/webfolder/technetwork/jet/content/images/listView/book2.jpg
Handcrafted Granite Bike,Music,31,1,https://www.oracle.com/webfolder/technetwork/jet/content/images/listView/book2.jpg
Incredible Fresh Chair,Electronics,695,4,https://www.oracle.com/webfolder/technetwork/jet/content/images/listView/book2.jpg
Practical Concrete Sausages,Toys,935,5,https://www.oracle.com/webfolder/technetwork/jet/content/images/listView/book2.jpg
Licensed Wooden Table,Outdoors,361,4,https://www.oracle.com/webfolder/technetwork/jet/content/images/listView/book2.jpg
Handcrafted Frozen Car,Shoes,930,1,https://www.oracle.com/webfolder/technetwork/jet/content/images/listView/book2.jpg
Sleek Cotton Chair,Books,773,5,https://www.oracle.com/webfolder/technetwork/jet/content/images/listView/book2.jpg
Tasty Cotton Chair,Computers,607,3,https://www.oracle.com/webfolder/technetwork/jet/content/images/listView/book2.jpg
Rustic Rubber Shoes,Clothing,476,3,https://www.oracle.com/webfolder/technetwork/jet/content/images/listView/book2.jpg
Generic Cotton Sausages,Tools,388,3,https://www.oracle.com/webfolder/technetwork/jet/content/images/listView/book2.jpg
Generic Wooden Shoes,Movies,13,4,https://www.oracle.com/webfolder/technetwork/jet/content/images/listView/book2.jpg
Licensed Fresh Keyboard,Computers,632,5,https://www.oracle.com/webfolder/technetwork/jet/content/images/listView/book2.jpg
Fantastic Soft Bike,Books,555,5,https://www.oracle.com/webfolder/technetwork/jet/content/images/listView/book2.jpg
Licensed Wooden Shoes,Books,322,3,https://www.oracle.com/webfolder/technetwork/jet/content/images/listView/book2.jpg
Intelligent Wooden Shoes,Movies,966,2,https://www.oracle.com/webfolder/technetwork/jet/content/images/listView/book2.jpg
Awesome Granite Car,Outdoors,76,2,https://www.oracle.com/webfolder/technetwork/jet/content/images/listView/book2.jpg
Refined Wooden Table,Jewelery,125,3,https://www.oracle.com/webfolder/technetwork/jet/content/images/listView/book2.jpg
Generic Wooden Mouse,Automotive,128,4,https://www.oracle.com/webfolder/technetwork/jet/content/images/listView/book2.jpg
Practical Granite Pizza,Garden,407,5,https://www.oracle.com/webfolder/technetwork/jet/content/images/listView/book2.jpg
Licensed Rubber Chair,Outdoors,806,4,https://www.oracle.com/webfolder/technetwork/jet/content/images/listView/book2.jpg
Handcrafted Granite Tuna,Games,626,2,https://www.oracle.com/webfolder/technetwork/jet/content/images/listView/book2.jpg
Fantastic Fresh Ball,Jewelery,136,2,https://www.oracle.com/webfolder/technetwork/jet/content/images/listView/book2.jpg
Awesome Steel Shoes,Electronics,10,1,https://www.oracle.com/webfolder/technetwork/jet/content/images/listView/book2.jpg
Licensed Cotton Car,Tools,211,5,https://www.oracle.com/webfolder/technetwork/jet/content/images/listView/book2.jpg
Sleek Soft Tuna,Computers,862,5,https://www.oracle.com/webfolder/technetwork/jet/content/images/listView/book2.jpg
Generic Steel Chicken,Toys,905,4,https://www.oracle.com/webfolder/technetwork/jet/content/images/listView/book2.jpg
Ergonomic Frozen Soap,Jewelery,937,4,https://www.oracle.com/webfolder/technetwork/jet/content/images/listView/book2.jpg
Refined Concrete Chair,Jewelery,225,5,https://www.oracle.com/webfolder/technetwork/jet/content/images/listView/book2.jpg
Rustic Steel Shirt,Movies,906,2,https://www.oracle.com/webfolder/technetwork/jet/content/images/listView/book2.jpg
Sleek Fresh Chicken,Sports,930,2,https://www.oracle.com/webfolder/technetwork/jet/content/images/listView/book2.jpg
Generic Granite Computer,Home,837,2,https://www.oracle.com/webfolder/technetwork/jet/content/images/listView/book2.jpg
Practical Soft Shirt,Games,235,1,https://www.oracle.com/webfolder/technetwork/jet/content/images/listView/book2.jpg
Awesome Wooden Tuna,Baby,312,2,https://www.oracle.com/webfolder/technetwork/jet/content/images/listView/book2.jpg
Fantastic Soft Car,Sports,354,4,https://www.oracle.com/webfolder/technetwork/jet/content/images/listView/book2.jpg
Intelligent Rubber Chips,Toys,756,1,https://www.oracle.com/webfolder/technetwork/jet/content/images/listView/book2.jpg
Unbranded Fresh Towels,Automotive,577,5,https://www.oracle.com/webfolder/technetwork/jet/content/images/listView/book2.jpg
Practical Steel Shoes,Music,354,2,https://www.oracle.com/webfolder/technetwork/jet/content/images/listView/book2.jpg
Awesome Wooden Bacon,Automotive,369,2,https://www.oracle.com/webfolder/technetwork/jet/content/images/listView/book2.jpg
Ergonomic Metal Shoes,Music,501,4,https://www.oracle.com/webfolder/technetwork/jet/content/images/listView/book2.jpg
Licensed Metal Bacon,Books,353,5,https://www.oracle.com/webfolder/technetwork/jet/content/images/listView/book2.jpg
Incredible Cotton Towels,Electronics,564,1,https://www.oracle.com/webfolder/technetwork/jet/content/images/listView/book2.jpg
Ergonomic Frozen Pizza,Jewelery,459,3,https://www.oracle.com/webfolder/technetwork/jet/content/images/listView/book2.jpg
Tasty Granite Towels,Automotive,815,2,https://www.oracle.com/webfolder/technetwork/jet/content/images/listView/book2.jpg
Practical Metal Gloves,Garden,239,3,https://www.oracle.com/webfolder/technetwork/jet/content/images/listView/book2.jpg
Refined Soft Table,Movies,729,5,https://www.oracle.com/webfolder/technetwork/jet/content/images/listView/book2.jpg
Refined Rubber Sausages,Grocery,573,3,https://www.oracle.com/webfolder/technetwork/jet/content/images/listView/book2.jpg
Handmade Steel Hat,Jewelery,902,5,https://www.oracle.com/webfolder/technetwork/jet/content/images/listView/book2.jpg
Awesome Cotton Bacon,Games,289,2,https://www.oracle.com/webfolder/technetwork/jet/content/images/listView/book2.jpg
Practical Plastic Bike,Garden,940,1,https://www.oracle.com/webfolder/technetwork/jet/content/images/listView/book2.jpg
Intelligent Fresh Bacon,Jewelery,314,1,https://www.oracle.com/webfolder/technetwork/jet/content/images/listView/book2.jpg
Practical Frozen Shoes,Industrial,555,1,https://www.oracle.com/webfolder/technetwork/jet/content/images/listView/book2.jpg
Handcrafted Plastic Cheese,Shoes,201,3,https://www.oracle.com/webfolder/technetwork/jet/content/images/listView/book2.jpg
Fantastic Plastic Soap,Industrial,512,2,https://www.oracle.com/webfolder/technetwork/jet/content/images/listView/book2.jpg
Refined Plastic Chair,Beauty,92,4,https://www.oracle.com/webfolder/technetwork/jet/content/images/listView/book2.jpg
Tasty Soft Bacon,Kids,780,5,https://www.oracle.com/webfolder/technetwork/jet/content/images/listView/book2.jpg
Tasty Cotton Chair,Toys,914,3,https://www.oracle.com/webfolder/technetwork/jet/content/images/listView/book2.jpg
